@relation microarray.txt

@attribute Score numeric
@attribute totalMFE numeric
@attribute seedMFE numeric
@attribute totalGC numeric
@attribute totalAU numeric
@attribute seedGC numeric
@attribute seedAT numeric
@attribute seedGU numeric
@attribute Pos_2 numeric
@attribute Pos_4 numeric
@attribute Pos_6 numeric
@attribute Pos_7 numeric
@attribute Class {Target,Non-Target}

@data
147,-25.8,-20.1,6,5,4,3,0,2,1,1,1,Target
146,-26.34,-20.1,7,4,4,3,0,2,1,1,1,Target
146,-25.64,-20.1,6,5,4,3,0,2,1,1,1,Target
142,-26,-20.1,8,4,4,3,0,2,1,1,1,Target
142,-24.8,-20.1,5,4,4,3,0,2,1,1,1,Target
141,-21.9,-20.1,6,6,4,3,0,2,1,1,1,Target
140,-25.02,-20.1,7,3,4,3,0,2,1,1,1,Target
140,-24.9,-20.1,6,4,4,3,0,2,1,1,1,Target
165,-24.8,-20.1,5,8,4,3,0,2,1,1,1,Target
146,-24.9,-20.1,4,5,4,3,0,2,1,1,1,Target
142,-26.4,-20.1,6,8,4,3,0,2,1,1,1,Target
142,-21.7,-20.1,6,4,4,3,0,2,1,1,1,Target
141,-23.2,-20.1,5,7,4,3,0,2,1,1,1,Target
162,-32.8,-20.1,7,7,4,3,0,2,1,1,1,Target
154,-22.3,-20.1,5,6,4,3,0,2,1,1,1,Target
151,-25.4,-20.1,6,7,4,3,0,2,1,1,1,Target
151,-24.7,-20.1,6,6,4,3,0,2,1,1,1,Target
149,-28.3,-20.1,7,5,4,3,0,2,1,1,1,Target
149,-22.1,-20.1,6,5,4,3,0,2,1,1,1,Target
149,-30.4,-20.1,8,5,4,3,0,2,1,1,1,Target
147,-26.6,-20.1,6,7,4,3,0,2,1,1,1,Target
147,-21.2,-20.1,7,4,4,3,0,2,1,1,1,Target
146,-29.3,-20.1,6,7,4,3,0,2,1,1,1,Target
146,-20.9,-20.1,4,8,4,3,0,2,1,1,1,Target
144,-28.3,-20.1,6,6,4,3,0,2,1,1,1,Target
143,-22.2,-20.1,6,6,4,3,0,2,1,1,1,Target
143,-22.5,-20.1,7,4,4,3,0,2,1,1,1,Target
143,-22.3,-20.1,6,6,4,3,0,2,1,1,1,Target
142,-26.2,-15.7,5,8,4,2,0,5,1,1,1,Target
142,-25.1,-20.1,4,7,4,3,0,2,1,1,1,Target
142,-24.2,-20.1,4,5,4,3,0,2,1,1,1,Target
142,-26.34,-20.1,7,5,4,3,0,2,1,1,1,Target
141,-22.1,-20.1,5,4,4,3,0,2,1,1,1,Target
140,-20.22,-20.1,7,3,4,3,0,2,1,1,1,Target
140,-24.32,-20.1,7,3,4,3,0,2,1,1,1,Target
140,-30.4,-18,6,5,3,3,1,2,1,1,1,Target
140,-25.22,-20.1,6,3,4,3,0,2,1,1,1,Target
160,-25.7,-19.9,9,5,4,3,0,1,2,1,2,Target
